Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.856756	0.555348	72.276001	80.519997	
0.100000	0.568460	0.492327	80.187996	82.409996	
0.100000	0.502775	0.456833	82.389999	84.119995	
0.100000	0.472315	0.437451	83.433998	84.720001	
0.100000	0.451715	0.446711	84.213997	84.779999	
0.100000	0.438153	0.422856	84.781998	85.739998	
0.100000	0.425578	0.409867	85.255997	85.729996	
0.100000	0.418495	0.404185	85.519997	85.989998	
0.100000	0.411288	0.400695	85.507996	86.239998	
0.100000	0.402766	0.402595	85.993996	86.329994	
0.100000	0.396707	0.397439	86.229996	86.159996	
0.100000	0.390660	0.415926	86.479996	85.669998	
0.100000	0.392265	0.392421	86.320000	86.259995	
0.100000	0.384967	0.392411	86.639999	86.570000	
0.100000	0.381005	0.398915	86.717995	86.369995	
0.100000	0.378465	0.399763	86.685997	86.500000	
0.100000	0.379435	0.407584	86.778000	86.229996	
0.100000	0.377116	0.384573	86.685997	86.820000	
0.100000	0.374206	0.388748	86.874001	86.659996	
0.100000	0.373200	0.389830	86.977997	86.430000	
0.100000	0.370204	0.399642	86.958000	86.419998	
0.100000	0.370515	0.386810	87.031998	86.599998	
0.100000	0.372167	0.400099	86.949997	86.360001	
0.100000	0.365862	0.401455	87.253998	85.979996	
0.100000	0.367674	0.402476	86.986000	86.269997	
0.100000	0.367923	0.391471	86.986000	86.659996	
0.100000	0.368749	0.387392	86.970001	86.619995	
0.100000	0.359763	0.396135	87.292000	86.409996	
0.100000	0.364505	0.391606	87.241997	86.500000	
0.100000	0.367753	0.387626	87.153999	86.439995	
0.100000	0.362998	0.379566	87.320000	86.860001	
0.100000	0.363653	0.381805	87.217995	86.849998	
0.100000	0.362808	0.384213	87.273994	86.669998	
0.100000	0.363381	0.402816	87.367996	86.119995	
0.100000	0.363432	0.378682	87.175995	87.110001	
0.100000	0.358938	0.390450	87.417999	86.729996	
0.100000	0.358828	0.384228	87.610001	87.070000	
0.100000	0.361199	0.399283	87.341995	86.349998	
0.100000	0.362155	0.385175	87.236000	87.299995	
0.100000	0.360201	0.404774	87.445999	86.419998	
0.100000	0.357280	0.387879	87.542000	86.799995	
0.100000	0.357885	0.398300	87.526001	86.680000	
0.100000	0.360084	0.394592	87.397995	86.269997	
0.100000	0.360847	0.386056	87.318001	86.629997	
0.100000	0.358267	0.386767	87.357994	86.619995	
0.100000	0.359725	0.390867	87.375999	86.769997	
